job_id,backend,date,qubits,shots,dominant_state,dominant_frac,entropy_bits,top1_flip_pos,top1_flip_rate,mean_flip,max_flip,n_states
da63t6s3jnrc73ai07e0,ibm_marrakesh,2026-08-24,156,8192,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.1719,7.408,116,0.5023,0.0853,0.5023,1746
da63jbuaa69c739lhp8g,ibm_marrakesh,2026-08-24,156,4096,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.228,5.996,101,0.5073,0.076,0.5073,728
da632s3otlns739cijk0,ibm_marrakesh,2026-08-24,156,8192,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.3247,4.737,141,0.4879,0.0616,0.4879,697
da61cfeaa69c739lepj0,ibm_marrakesh,2026-08-24,156,8192,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000010011111111111111111,0.5292,4.194,121,0.2653,0.0164,0.2653,592
da5lidmaa69c739l0tp0,ibm_marrakesh,2026-08-23,156,8192,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.3455,4.001,152,0.5015,0.0508,0.5015,436
da5l8mm1vhnc73fm7eng,ibm_marrakesh,2026-08-23,156,8192,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.3258,4.422,50,0.4822,0.0488,0.4822,453
da5kvoeaa69c739l07kg,ibm_marrakesh,2026-08-23,156,8192,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.3011,4.588,64,0.4872,0.0492,0.4872,512
da5kofbotlns739c1rh0,ibm_marrakesh,2026-08-23,156,8192,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.344,4.048,142,0.4934,0.0497,0.4934,454
da5kb9jotlns739c1d10,ibm_marrakesh,2026-08-23,156,8192,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.2244,5.848,20,0.5021,0.0494,0.5021,831
da5jgt61vhnc73fm5j80,ibm_marrakesh,2026-08-23,156,8192,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.3582,3.861,20,0.4861,0.0488,0.4861,381
